GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
project-one,com.skillstorm.project_one.DTOs,OrderItemDTO,0,73,0,0,0,25,0,13,0,13
project-one,com.skillstorm.project_one.DTOs,StockDTO,0,60,0,0,0,20,0,11,0,11
project-one,com.skillstorm.project_one,ProjectOneApplication,8,0,0,0,3,0,2,0,2,0
project-one,com.skillstorm.project_one.Models,Orders,14,38,0,0,2,16,1,11,1,11
project-one,com.skillstorm.project_one.Models,OrderItem,6,57,0,0,2,18,2,12,2,12
project-one,com.skillstorm.project_one.Models,Warehouse,0,44,0,0,0,15,0,10,0,10
project-one,com.skillstorm.project_one.Models,Candy,0,62,0,0,0,21,0,14,0,14
project-one,com.skillstorm.project_one.Models,Stock,2,61,2,2,0,16,2,12,0,12
project-one,com.skillstorm.project_one.Services,CandyService,0,60,0,2,0,14,0,9,0,8
project-one,com.skillstorm.project_one.Services,OrderItemService,20,182,1,5,1,37,4,10,3,8
project-one,com.skillstorm.project_one.Services,StockService,15,257,0,6,0,43,3,13,3,10
project-one,com.skillstorm.project_one.Services,WarehouseService,5,91,0,2,0,22,1,8,1,7
project-one,com.skillstorm.project_one.Services,OrdersService,6,49,1,1,1,13,1,7,0,7
project-one,com.skillstorm.project_one.Controllers,OrderItemController,16,34,0,0,3,9,2,4,2,4
project-one,com.skillstorm.project_one.Controllers,WarehouseController,0,34,0,0,0,9,0,5,0,5
project-one,com.skillstorm.project_one.Controllers,CandyController,0,49,0,0,0,12,0,8,0,8
project-one,com.skillstorm.project_one.Controllers,GlobalExceptionHandler,8,0,0,0,2,0,2,0,2,0
project-one,com.skillstorm.project_one.Controllers,OrdersController,0,44,0,0,0,11,0,7,0,7
project-one,com.skillstorm.project_one.Controllers,StockController,0,60,0,0,0,13,0,6,0,6
